id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
1	pasqualetti (2013)	"<table><tr><td>Authors:</td><td>pasqualetti, fabio; doerfler, florian; bullo, francesco</td></tr><tr><td>Title:</td><td>attack detection and identification in cyber-physical systems</td></tr><tr><td>Source:</td><td>ieee transactions on automatic control, 58(11), 2715-2729</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1109/tac.2013.2266831	-0.9331	0.0591	2	378	781	1331	42.3879	2013	1331	42.3879
3	lin (2017)	"<table><tr><td>Authors:</td><td>lin, jie; yu, wei; zhang, nan; yang, xinyu; zhang, hanlin; zhao, wei</td></tr><tr><td>Title:</td><td>a survey on internet of things: architecture, enabling technologies, security and privacy, and applications</td></tr><tr><td>Source:</td><td>ieee internet of things journal, 4(5), 1125-1142</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1109/jiot.2017.2683200	0.6077	-0.1542	1	365	793	1291	57.4107	2017	1291	57.4107
4	buczak (2016)	"<table><tr><td>Authors:</td><td>buczak, anna l.; guven, erhan</td></tr><tr><td>Title:</td><td>a survey of data mining and machine learning methods for cyber security intrusion detection</td></tr><tr><td>Source:</td><td>ieee communications surveys and tutorials, 18(2), 1153-1176</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1109/comst.2015.2494502	1.0853	0.0328	1	156	348	1259	59.8656	2016	1259	59.8656
5	alzubaidi (2021)	"<table><tr><td>Authors:</td><td>alzubaidi, laith; zhang, jinglan; humaidi, amjad j.; al-dujaili, ayad; duan, ye; al-shamma, omran; santamaria, j.; fadhel, mohammed a.; al-amidie, muthana; farhan, laith</td></tr><tr><td>Title:</td><td>review of deep learning: concepts, cnn architectures, challenges, applications, future directions</td></tr><tr><td>Source:</td><td>journal of big data, 8(1)</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1186/s40537-021-00444-8	1.1083	0.0985	1	110	204	1162	104.8396	2021	1162	104.8396
8	de persis (2015)	"<table><tr><td>Authors:</td><td>de persis, claudio; tesi, pietro</td></tr><tr><td>Title:</td><td>input-to-state stabilizing control under denial-of-service</td></tr><tr><td>Source:</td><td>ieee transactions on automatic control, 60(11), 2930-2944</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1109/tac.2015.2416924	-0.6869	0.4116	2	309	487	717	29.3681	2015	717	29.3681
9	yu (2018)	"<table><tr><td>Authors:</td><td>yu, wei; liang, fan; he, xiaofei; hatcher, william grant; lu, chao; lin, jie; yang, xinyu</td></tr><tr><td>Title:</td><td>a survey on the edge computing for the internet of things</td></tr><tr><td>Source:</td><td>ieee access, 6, 6900-6919</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1109/access.2017.2778504	0.6757	-0.1579	1	255	472	704	31.9948	2018	704	31.9948
10	teixeira (2015)	"<table><tr><td>Authors:</td><td>teixeira, andre; shames, iman; sandberg, henrik; johansson, karl henrik</td></tr><tr><td>Title:</td><td>a secure control framework for resource-limited adversaries</td></tr><tr><td>Source:</td><td>automatica, 51, 135-148</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1016/j.automatica.2014.10.067	-0.5161	0.2134	2	257	377	703	28.7946	2015	703	28.7946
11	mo (2012)	"<table><tr><td>Authors:</td><td>mo, yilin; kim, tiffany hyun-jin; brancik, kenneth; dickinson, dona; lee, heejo; perrig, adrian; sinopoli, bruno</td></tr><tr><td>Title:</td><td>cyber-physical security of a smart grid infrastructure</td></tr><tr><td>Source:</td><td>proceedings of the ieee, 100(1), 195-209</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1109/jproc.2011.2161428	-0.6384	-0.0948	4	236	322	702	18.0392	2012	702	18.0392
13	alom (2019)	"<table><tr><td>Authors:</td><td>alom, md zahangir; taha, tarek m.; yakopcic, chris; westberg, stefan; sidike, paheding; nasrin, mst shamima; hasan, mahmudul; van essen, brian c.; awwal, abdul a. s.; asari, vijayan k.</td></tr><tr><td>Title:</td><td>a state-of-the-art survey on deep learning theory and architectures</td></tr><tr><td>Source:</td><td>electronics, 8(3)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.3390/electronics8030292	1.1127	0.0944	1	132	324	693	35.5792	2019	693	35.5792
16	wang (2013a)	"<table><tr><td>Authors:</td><td>wang, wenye; lu, zhuo</td></tr><tr><td>Title:</td><td>cyber security in the smart grid: survey and challenges</td></tr><tr><td>Source:</td><td>computer networks, 57(5), 1344-1371</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1016/j.comnet.2012.12.017	-0.4715	-0.3087	4	384	889	613	19.522	2013	613	19.522
17	ahmed (2016)	"<table><tr><td>Authors:</td><td>ahmed, mohiuddin; mahmood, abdun naser; hu, jiankun</td></tr><tr><td>Title:</td><td>a survey of network anomaly detection techniques</td></tr><tr><td>Source:</td><td>journal of network and computer applications, 60, 19-31</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1016/j.jnca.2015.11.016	1.044	0.0434	1	137	229	606	28.8154	2016	606	28.8154
19	vardakas (2015)	"<table><tr><td>Authors:</td><td>vardakas, john s.; zorba, nizar; verikoukis, christos v.</td></tr><tr><td>Title:</td><td>a survey on demand response programs in smart grids: pricing methods and optimization algorithms</td></tr><tr><td>Source:</td><td>ieee communications surveys and tutorials, 17(1), 152-178</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1109/comst.2014.2341586	-0.1041	-0.3016	4	176	452	584	23.9204	2015	584	23.9204
22	vinayakumar (2019)	"<table><tr><td>Authors:</td><td>vinayakumar, r.; alazab, mamoun; soman, k. p.; poornachandran, prabaharan; al-nemrat, ameer; venkatraman, sitalakshmi</td></tr><tr><td>Title:</td><td>deep learning approach for intelligent intrusion detection system</td></tr><tr><td>Source:</td><td>ieee access, 7, 41525-41550</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1109/access.2019.2895334	1.1925	0.0277	1	215	498	557	28.5969	2019	557	28.5969
23	biggio (2018)	"<table><tr><td>Authors:</td><td>biggio, battista; roli, fabio</td></tr><tr><td>Title:</td><td>wild patterns: ten years after the rise of adversarial machine learning</td></tr><tr><td>Source:</td><td>pattern recognition, 84, 317-331</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.patcog.2018.07.023	1.0845	0.1443	1	60	241	549	24.9505	2018	549	24.9505
26	ding (2018)	"<table><tr><td>Authors:</td><td>ding, derui; han, qing-long; xiang, yang; ge, xiaohua; zhang, xian-ming</td></tr><tr><td>Title:</td><td>a survey on security control and attack detection for industrial cyber-physical systems</td></tr><tr><td>Source:</td><td>neurocomputing, 275, 1674-1683</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.neucom.2017.10.009	-0.8884	0.3334	2	521	1736	527	23.9506	2018	527	23.9506
