Scopus-10-Analyze-Year

"Your query : ((TITLE-ABS-KEY(cyber security) OR TITLE-ABS-KEY(cybersecurity)))"


Number of results : 10

"YEAR",
"2025","1275"
"2024","14329"
"2023","12548"
"2022","9604"
"2021","8356"
"2020","7027"
"2019","5993"
"2018","4597"
"2017","3828"
"2016","2816"
"2015","2059"
"2014","1564"
"2013","1321"
"2012","1035"
"2011","835"
"2010","566"
"2009","374"
"2008","306"
"2007","272"
"2006","221"
"2005","201"
"2004","147"
"2003","136"
"2002","64"
"2001","44"
"2000","17"
"1999","17"
"1998","10"
"1997","4"
"1985","2"
"1980","1"
