id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	access control	-0.1104	-0.8832	4	5	5	1	2004
2	collusion attack	0.5999	0.3863	5	5	5	1	2004
3	computer forensics	0.5094	0.6366	5	5	5	1	2004
4	computer security	-0.2254	-0.2395	9	2	2	1	2004
5	control systems	-0.8516	-0.2751	6	1	1	1	2004
6	crimes	-0.1063	0.4775	1	3	3	1	2004
7	critical infrastructure protection	0.6512	-0.6425	10	2	2	1	2004
8	cyber	-0.477	0.7558	2	6	6	1	2004
9	cyber security	-0.7152	-0.3809	6	4	4	2	2004
10	cyber security management	0.1785	-0.6457	7	4	4	1	2004
11	cyber terrorism	-0.509	0.5751	2	6	6	1	2004
12	cyber war	-0.6363	0.6758	2	6	6	1	2004
13	cyber-crime	-0.3671	0.656	2	6	6	1	2004
14	cybersecurity	0.6124	0.1407	3	14	22	6	2004
15	cyberwar	0.2867	-0.1642	3	4	8	2	2004
16	dartmouth college	0.8378	0.2777	11	3	3	1	2004
17	data security	0.0535	0.6277	1	8	8	2	2004
18	denial of service	-0.4315	0.4249	2	6	6	1	2004
19	digital rights management	-0.2618	-0.8687	4	5	5	1	2004
20	e-government	0.1694	-0.833	7	4	4	1	2004
21	electronic commerce	-0.0271	0.3019	1	3	3	1	2004
22	emergency response and preparedness	0.9291	0.1267	11	3	3	1	2004
23	european union	-0.0698	0.7817	1	5	5	1	2004
24	exercise	0.4697	-0.2584	3	4	8	2	2004
25	exercises	0.7959	-0.2608	3	3	6	2	2004
26	expectancy theory	0.1377	0.4129	1	3	3	1	2004
27	global collaboration	0.3128	-0.8544	7	4	4	1	2004
28	global partnerships	0.4267	-0.7533	7	4	4	1	2004
29	government policy	0.1061	0.9069	1	5	5	1	2004
30	"hacker, information warfare"	-0.6118	0.4174	2	6	6	1	2004
31	homeland security	0.5866	-0.4965	10	2	2	1	2004
32	information infrastructure protection	0.7971	0.0637	11	3	3	1	2004
33	information systems security	-0.4243	-0.2236	9	2	2	1	2004
34	information theft	-0.3196	-0.6507	4	5	5	1	2004
35	insider attack	-0.1596	-0.6004	4	5	5	1	2004
36	intrusion detection	-0.9072	0.1069	8	4	4	1	2004
37	laboratory	0.3861	0.0206	3	4	8	2	2004
38	layers of protection	-0.6162	-0.6359	6	3	3	1	2004
39	librarians	0.2144	0.7338	1	5	5	1	2004
40	libraries	-0.0499	0.911	1	5	5	1	2004
41	mimicry attack	-0.8775	-0.0448	8	4	4	1	2004
42	national cyber security division	-0.7144	0.5292	2	6	6	1	2004
43	non-deterministic finite state automaton	-0.7166	-0.0364	8	4	4	1	2004
44	pattern recognition	0.4526	0.4714	5	5	5	1	2004
45	public policy	0.7577	-0.493	10	2	2	1	2004
46	rings of protection	-0.5496	-0.4757	6	3	3	1	2004
47	risk analysis	-0.7511	-0.5378	6	3	3	1	2004
48	sandboxing	-0.8217	0.2258	8	4	4	1	2004
49	security	0.629	-0.1442	3	6	14	4	2004
50	security management	-0.3206	-0.0638	9	2	2	1	2004
51	system call graph	-0.6734	0.1258	8	4	4	1	2004
52	tamper resistance	-0.3865	-0.7877	4	5	5	1	2004
53	terminal service	-0.0804	-0.7393	4	5	5	1	2004
54	the 80/20 rule	0.3341	-0.6121	7	4	4	1	2004
55	tools	0.8836	-0.1241	3	3	6	2	2004
56	united states of america	0.2544	0.8644	1	5	5	1	2004
57	video steganalysis	0.742	0.4808	5	5	5	1	2004
58	video steganography	0.6546	0.6106	5	5	5	1	2004
