id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
265	anomaly detection	0.6345	0.7334	1	19	41	57	2014.3509
483	authentication	0.593	-0.2376	2	14	31	37	2014.1892
641	big data	0.9726	-0.2035	2	24	44	54	2015.0926
731	botnet	0.6489	0.3796	1	15	18	31	2014.1613
989	cloud computing	0.8451	0.0469	2	22	56	70	2014.5
1240	computer security	0.8364	-0.3426	2	33	58	78	2014.0513
1502	critical infrastructure	-0.634	-0.0455	3	27	58	67	2014.1642
1506	critical infrastructure protection	-0.4241	0.9002	1	15	22	26	2014.1154
1550	cryptography	0.6759	-0.049	2	15	35	37	2014.4865
1603	cyber attack	-0.7802	0.5529	1	21	38	46	2013.3913
1613	cyber attacks	-0.585	0.8323	1	17	30	38	2014.1316
1637	cyber crime	-0.6135	0.6319	1	15	22	26	2013.7308
1744	cyber security	-0.0971	0.4718	1	46	583	1117	2014.1415
1853	cyber threats	-0.4036	-0.4131	2	15	22	28	2013.9643
1859	cyber warfare	-0.6525	0.464	1	12	20	26	2014.0385
1869	cyber-attack	-0.8347	-0.1211	3	18	29	31	2015
1908	cyber-physical security	0.6056	1.0312	1	10	14	40	2014.625
1916	cyber-physical systems	0.1006	0.0294	1	22	49	59	2014.5932
1931	cyber-security	-0.6204	-0.3794	3	35	74	154	2014.1883
1972	cybercrime	-0.1173	-0.953	2	22	69	77	2014.3117
2012	cybersecurity	0.441	-0.5984	2	45	390	729	2014.6049
2093	cyberspace	-0.5	-0.8006	2	20	49	54	2014.2963
2710	education	0.4895	-1.0383	2	15	36	45	2014.5556
2834	encryption	-0.0311	-0.2272	2	15	23	26	2014.3077
3276	game theory	0.6275	0.201	1	21	36	44	2014.4318
3901	industrial control systems	-0.8797	0.2434	3	23	29	34	2014.2941
4000	information security	0.3315	0.2046	1	34	106	134	2014.1119
4242	internet	-0.3257	-0.6935	2	21	37	43	2014
4263	internet of things	0.8591	-0.5826	2	21	41	44	2015.5
4309	intrusion detection	0.4682	0.4683	1	21	68	78	2014.0256
4727	machine learning	0.6726	0.548	1	17	43	56	2014.5893
4762	malware	-0.2437	-0.1333	1	28	53	66	2014.4394
5291	network security	0.8437	0.3135	1	20	32	47	2013.9574
5520	ontology	-0.4033	0.1582	1	11	23	32	2014.0312
6008	privacy	0.1219	-1.0115	2	26	83	95	2014.3263
6437	resilience	-0.1019	-0.0938	3	18	28	35	2014.4571
6488	risk	-0.4537	-0.2452	3	20	26	29	2014.4138
6491	risk assessment	0.4301	-0.0388	1	18	56	61	2014.6885
6504	risk management	0.1613	-0.1404	3	19	35	52	2014.0577
6622	scada	-0.6916	0.211	3	31	93	98	2013.9694
6741	security	0.0034	-0.6228	2	43	225	313	2014.3674
7135	simulation	-0.2958	-0.3284	3	16	25	30	2013.8333
7163	situational awareness	-0.1194	0.9247	1	13	25	36	2014.5278
7203	smart grid	0.1984	0.8588	1	35	167	205	2013.8537
7586	stuxnet	-0.7854	-0.2575	3	20	25	26	2013.0769
8070	trust	-0.5338	-0.603	3	23	29	34	2014.7059
8374	vulnerability	-0.4332	-0.0448	1	23	34	39	2013.9487
