id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
7	'current	-0.2182	-0.1528	4	289	614	76	2020.6447	14.8289	0.8535
89	3d printers	0.1193	-0.453	5	203	596	69	2019.0435	38.971	1.5741
120	5g	0.0101	0.3959	4	228	549	56	2020.25	23.1071	1.0001
131	5g mobile communication systems	-0.0036	0.4078	4	455	1744	172	2020.4244	29.8488	1.3934
332	access control	-0.0287	-0.0853	4	608	2527	301	2017.7475	24.6179	0.8769
378	accident prevention	0.2846	-0.4467	5	502	2134	222	2017.8874	30.6081	1.0713
382	accidents	0.3299	0.506	4	199	401	40	2018.675	28.525	1.0448
647	actuators	0.8736	0.3231	2	279	880	94	2018.4468	37.7447	1.3755
698	adaptive boosting	-0.9791	0.8086	3	241	775	60	2020.5167	30.95	1.3861
711	adaptive control systems	0.9807	0.4065	2	270	822	82	2019.1585	27.3293	1.1577
820	adaptive systems	0.3362	0.2086	2	213	352	37	2015.7568	27.3243	0.8688
859	additive manufacturing	0.123	-0.4527	5	120	354	49	2019	35.0408	1.3845
929	adult	-0.8812	-0.8088	1	256	1245	100	2019.38	29.73	1.1531
937	advanced analytics	-0.4412	0.0173	4	197	453	46	2019.8478	23.9783	1.056
974	advanced metering infrastructure	1.1191	-0.1953	2	165	438	38	2018.3158	52.9737	1.8068
977	advanced metering infrastructures	1.115	-0.2054	2	365	1439	135	2017.7926	35.2815	1.2004
983	advanced persistent threat	-0.6684	0.3283	3	228	534	74	2018.9595	24.7568	0.9559
1048	adversarial machine learning	-0.8336	0.3996	3	205	512	55	2020.4	34.1455	1.4801
1057	adversarial networks	-0.5436	0.8136	3	220	539	57	2020.1228	35.8246	1.5103
1305	agricultural robots	-0.0548	-0.0127	4	262	535	48	2020.1875	30.9375	1.3801
1386	air navigation	0.3886	0.4519	4	163	341	41	2017.6585	21.4634	0.7622
1402	air traffic control	0.3798	0.4448	4	211	409	52	2017.7692	20.1346	0.683
1443	aircraft detection	0.4016	0.515	4	223	596	52	2018.8269	37.9231	1.3753
1484	alarm systems	-0.4613	0.4977	3	213	419	42	2017.1905	36.5238	1.2852
1532	algorithm	-0.7146	-0.0395	1	457	1610	126	2020.4683	26.5476	1.2083
1569	algorithms	-0.5897	0.1471	3	583	2186	202	2015.5	30.6535	0.9707
1876	android	-0.9021	0.37	3	180	420	40	2017.525	19.85	0.7355
1877	android (operating system)	-0.9073	0.3894	3	290	1224	122	2018.918	24.5492	0.9858
1899	android malware	-0.9195	0.409	3	149	500	47	2019.9787	25.5745	1.1086
1970	anomaly based intrusion detection systems	-0.571	0.9946	3	173	466	37	2019.5405	53.1351	2.0859
1977	anomaly detection	-0.3473	0.7544	3	824	8510	852	2019.1714	30.034	1.1746
1989	anomaly detection methods	-0.2908	0.7629	3	248	588	59	2018.8136	26.6441	1.039
1997	anomaly detection systems	-0.2225	0.773	3	261	679	64	2018.5312	31.2344	1.1249
2080	antennas	0.4064	0.4924	4	404	1423	139	2019.3525	41.4532	1.6918
2279	application programming interfaces (api)	-0.6353	0.1855	3	164	331	38	2017.5	29.6579	1.0492
2280	application programs	-0.2802	-0.126	5	553	1936	220	2017.85	21.1	0.7369
2461	architecture	0.0307	-0.2782	4	352	845	101	2017.4455	53.3366	1.6342
2564	article	-0.8214	-0.7629	1	656	4072	354	2019.2655	29.4124	1.2124
2595	artificial intelligence	-0.618	0.1045	3	904	9473	1052	2018.8973	37.7405	1.4936
2631	artificial neural network	-0.7393	0.5136	3	246	587	50	2020.02	40.06	1.872
2856	attack	-0.0927	0.0313	4	511	1490	174	2018.6954	32.3966	1.2584
2889	attack detection	0.2135	0.8124	3	658	3617	341	2019.6628	28.3695	1.1924
2912	attack graph	0.2308	-0.5111	5	285	937	117	2017.2564	24.359	0.7984
2981	attack scenarios	0.6175	-0.0812	2	265	546	62	2016.4839	25.8387	0.8137
2994	attack strategies	0.8278	0.4076	2	225	462	58	2018.3621	29.7586	1.0844
3017	attack tree	0.2928	-0.5039	5	217	521	56	2016.5893	37.6786	1.152
3023	attack vector	-0.0818	-0.3863	1	199	385	47	2019.4681	26.9149	1.1011
3208	augmented reality	-0.2364	-0.6372	1	184	382	47	2019.617	32.617	1.5338
3235	authentication	0.1493	0.2396	4	741	4995	618	2018.6796	22.2961	0.8769
3264	authentication scheme	0.2091	0.248	4	149	360	41	2019.3659	17.9024	0.8153
3309	auto encoders	-0.5829	0.8979	3	288	946	81	2020.679	26.0864	1.1932
3336	autoencoder	-0.5924	0.9091	3	195	509	51	2020.4706	25.1176	1.1316
