id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
27	0	-0.3196	-0.1652	5	300	1289	154	2021.5455	19.7922	2.1074
126	3gpp	0.4027	0.3639	3	68	93	10	2020.2	67.3	3.8618
146	5g	0.4348	0.3884	3	210	550	85	2020.6	26.3176	1.6901
158	5g mobile communication	0.4654	0.3937	3	162	310	33	2021	18.4545	1.6551
192	6g	0.4775	0.383	3	95	170	18	2022	48.0556	4.4743
194	6g mobile communication	0.4831	0.3574	3	82	119	10	2021.9	12.5	1.3156
199	6lowpan	0.4576	0.8161	3	49	96	13	2019.2308	57.2308	3.116
280	ac	0.9086	-0.3627	2	63	102	14	2019.8571	26.5714	1.7457
309	acceptance	-1.0634	-0.3378	1	106	215	36	2019.9444	21.5278	1.4404
313	access	-0.2111	0.0732	3	116	184	28	2019.8571	28.3214	1.6699
314	access control	0.0015	0.2054	3	183	451	107	2018.7196	11.8037	0.8666
334	access-control	0.342	0.7282	3	197	507	59	2019.678	34.1695	2.3881
363	accuracy	-0.4324	0.8859	4	62	95	22	2020.2727	10.2727	0.7419
452	activity recognition	-0.7489	0.0742	1	72	101	12	2019.9167	37.9167	3.1478
481	actuators	0.8967	-0.1257	2	155	349	46	2020.8913	16.7826	1.5622
490	ad hoc networks	0.5214	0.4509	3	68	95	11	2018.7273	43.7273	2.2386
505	adaptation models	0.7355	0.0397	2	120	172	22	2021.6818	11.1364	1.2116
525	adaptive cruise control	0.8578	0.0098	2	54	90	16	2019.5	16.0625	0.9963
607	additive manufacturing	-0.4695	-0.0894	5	75	167	42	2019.619	24.5238	1.8972
644	adoption	-1.0546	-0.3482	1	169	392	58	2019.8621	31.4828	1.8623
689	advanced metering infrastructure	0.6941	-0.4728	2	170	455	63	2018.7302	31.8254	1.7208
690	advanced metering infrastructure (ami)	0.845	0.369	3	66	110	21	2017.4286	47.5238	2.2645
696	advanced persistent threat	-0.4717	0.3485	4	111	215	54	2019.0556	18.8704	1.1402
702	advanced persistent threats	-0.1156	0.1028	5	121	210	41	2019.3171	17.9024	1.1482
725	adversarial attacks	-0.0692	0.8494	4	110	196	35	2021.4571	19.8286	1.9658
741	adversarial examples	-0.3441	0.8048	4	54	91	16	2021	48.1875	2.9824
747	adversarial machine learning	-0.3729	0.8525	4	113	260	59	2020.661	21.5932	1.5462
857	age	-1.0301	-0.1648	1	53	73	18	2020.3889	11.4444	0.757
908	aggregation	0.6801	0.5754	3	62	91	19	2016.8947	33.3158	1.4644
948	agriculture	-0.5951	0.3762	3	58	87	14	2021.0714	13.6429	1.1158
959	ahp	-0.4653	-0.5686	1	65	111	21	2019.8095	9.1905	0.75
1068	alert correlation	-0.49	0.7729	4	40	70	22	2016.9545	24.9545	1.2447
1095	algorithm	0.3159	0.2306	4	466	1788	294	2020.415	24.2143	1.6741
1105	algorithms	0.1954	0.1778	4	240	531	95	2019.4947	28.6947	1.9463
1116	allocation	-0.0646	-0.0027	3	91	137	22	2020	25.0909	1.8658
1160	ami	0.2869	-0.5363	5	64	102	17	2017.7059	29.0588	1.1142
1224	analytical models	0.4813	-0.2099	2	210	483	56	2021.1429	16.1429	1.5798
1226	analytics	-0.7302	0.3655	1	171	376	54	2019.8889	21.6111	1.7146
1277	android	-0.4113	0.6953	4	59	112	39	2018.7436	11.359	0.6653
1301	android malware detection	-0.4441	0.9436	4	55	94	22	2020.2273	44.6818	2.5391
1332	announcements	-0.9117	-0.5328	1	37	89	15	2020	12.8	0.8031
1340	anomaly	-0.0068	0.0695	4	68	102	20	2019.55	19.85	1.1542
1352	anomaly detection	-0.093	0.7234	4	557	3507	705	2019.9135	19.9872	1.3674
1399	anonymity	-0.426	0.2909	3	118	243	42	2018.1429	24.5714	1.2463
1582	applications	0.0004	-0.0548	3	78	122	15	2019	196.5333	9.3961
1626	apt	-0.4933	0.3333	4	51	88	25	2018.72	37.44	1.8442
1667	architecture	0.0913	0.1909	3	453	1928	263	2019.8631	44.1255	2.5158
1678	architectures	-0.0183	0.0004	3	99	156	19	2020.4737	76.6842	3.5835
1766	artificial intelligence	-0.3767	0.3063	4	595	2980	503	2020.9702	17.0636	1.6097
1791	artificial neural network	-0.2241	0.7515	4	86	126	23	2020.4348	12.8261	0.9839
1797	artificial neural networks	0.7026	0.2228	4	107	169	30	2020.2	13.0667	1.0823
1808	artificial-intelligence	-0.668	0.0559	1	240	591	70	2021.5714	31.7143	3.4532
1840	assessment	-0.8062	-0.5186	1	66	100	24	2019.4167	6.5417	0.6305
1892	assurance	-0.8178	-0.4981	1	54	90	21	2019.9048	5.2857	0.3616
1953	attack	0.1789	0.0527	4	755	5429	882	2019.8367	24.5862	1.6395
1986	attack detection	0.8791	0.15	2	384	1361	213	2020.6197	24.9437	1.9713
2013	attack graph	-0.1088	-0.487	5	140	328	100	2018.31	12.54	0.7089
2109	attack tree	-0.0014	-0.5472	5	61	112	28	2017	23.8214	1.0551
2110	attack trees	-0.1039	-0.4876	5	47	73	26	2019.1538	10.8462	0.6387
2189	attention	-0.8134	-0.108	1	63	86	20	2020.45	12.35	0.8306
2209	attitudes	-1.0628	-0.2632	1	69	122	25	2020.08	11.92	0.7589
2233	attribution	-0.8813	-0.3007	1	47	75	26	2017.9231	21.2692	1.0043
2274	augmented reality	-0.7236	-0.0521	1	102	224	31	2020.7419	11.9677	1.368
2282	australia	-0.2342	-0.0083	1	87	120	18	2021.1111	39.3333	2.6336
2296	authentication	0.3576	0.4448	3	508	2699	442	2019.7692	17.5385	1.2906
2307	authentication protocol	0.3979	0.6543	3	77	131	17	2021.2353	20	1.85
2309	authentication scheme	0.5349	0.6201	3	147	309	38	2020.1316	29.3684	1.9148
2325	authorization	0.0836	0.3409	3	84	155	23	2018.8261	9.8261	0.7662
2354	autoencoder	-0.2078	1.02	4	111	291	56	2020.8929	12.6786	1.1617
2360	automata	0.6025	-0.177	2	66	131	19	2020.1579	16.2105	1.0134
2438	automatic generation control	0.9488	-0.3732	2	67	96	16	2018.5625	41.5625	2.0472
2462	automation	-0.131	-0.3041	5	249	512	82	2019.939	13.8659	0.9289
2479	automobiles	0.2369	0.4904	3	117	222	22	2021	14.8636	1.5096
2480	automotive	0.0405	0.2042	5	76	173	57	2019.2982	9.386	0.5501
2495	automotive engineering	0.1074	0.5097	4	97	203	25	2021.24	10.4	0.8243
2512	automotive security	0.1031	0.5167	4	50	89	25	2020.32	8.36	0.6551
2580	autonomous systems	0.1332	0.0331	3	76	118	26	2018.7308	5.8462	0.3643
2590	autonomous vehicle	-0.2681	0.4667	4	50	87	22	2019.5	26.8636	1.3929
2596	autonomous vehicles	0.2157	0.3981	3	182	416	72	2020.4583	17.0417	1.2977
2606	autonomy	-0.6481	-0.2884	1	63	82	19	2018.7895	7.7895	0.4347
2619	availability	0.1228	-0.4725	5	120	240	49	2018.9388	20.898	1.106
2659	awareness	-1.1172	-0.3236	1	241	845	168	2019.5774	12.1429	0.7984
2728	bad data detection	1.1049	-0.4666	2	59	121	23	2017.6087	40.2174	1.6695
2807	barriers	-0.7498	-0.5879	1	67	140	20	2021.6	18	1.9901
2841	batteries	0.6691	-0.2979	2	107	145	15	2021.3333	25.6	2.3273
2901	bayesian network	-0.1671	-0.6123	5	87	158	37	2019.027	14.973	0.8488
2904	bayesian networks	-0.2263	-0.6179	5	61	94	19	2018.3158	22.1579	1.1236
2950	behavior	-1.0833	-0.2835	1	306	909	166	2019.8072	20.4759	1.2851
3012	behavioral sciences	0.1491	0.3585	4	122	187	23	2022.3913	2.8261	0.6441
3020	behaviors	-1.1257	-0.2993	1	106	238	42	2019.8095	11.0238	0.7214
3137	bibliographies	-0.5027	-0.2461	1	67	108	11	2021.7273	13.3636	2.0057
3163	big data	-0.4806	0.1974	1	493	2506	392	2019.4694	32.0459	2.0824
3166	big data analytics	-0.4035	-0.0105	1	207	414	60	2019.7167	39.3833	2.9026
3221	bim	-0.3438	-0.0007	1	52	110	19	2020.2632	37.8947	2.7892
3305	biological system modeling	0.5507	-0.2541	2	111	173	20	2021.6	10.15	1.1506
3340	biometrics	-0.5899	0.3906	1	72	109	29	2018.5172	27.6552	1.3792
3378	bitcoin	-0.4474	0.1545	3	135	276	47	2020.1489	38.0213	2.4314
3454	blockchain	-0.1305	0.2801	3	560	4183	709	2020.6982	23.7574	1.8461
3487	blockchain technology	-0.2623	0.0489	3	160	329	56	2021.4464	23.8214	2.3619
3495	blockchains	0.2053	0.6176	3	209	507	50	2021.68	14.34	2.1056
3521	bluetooth	0.4478	0.7497	3	60	91	17	2019.7647	17.7647	1.025
3602	botnet	-0.1564	0.9202	4	226	757	151	2018.8543	21.9007	1.4852
3612	botnet detection	-0.1934	1.0408	4	98	201	50	2018.76	19.62	1.5225
3803	buildings	-0.3659	0.0019	1	85	99	11	2021.0909	18.1818	1.5899
3835	business	-0.8888	-0.4603	1	138	262	37	2020.4595	20.9189	1.6242
3965	can bus	0.0894	0.5333	4	61	110	28	2019.75	21.0357	1.3371
4005	capacity	0.2148	-0.2107	3	72	105	24	2019.5833	13.875	0.8075
4078	care	-0.8654	-0.0561	1	123	236	45	2020.0667	18.3556	1.1967
4111	cascading failures	0.8298	-0.5372	2	102	194	32	2019.4375	17.1562	1.0553
4117	case study	-0.6331	-0.4254	1	91	131	30	2019.4333	10.5333	0.7707
4254	certification	-0.703	-0.4194	1	75	118	26	2019.8077	7.1923	0.4687
4296	challenges	-0.1507	0.1317	3	704	4980	645	2020.4047	30.5721	2.0755
4315	channel	0.636	0.2688	3	72	94	12	2019.25	17.0833	1.1798
4334	chaos	0.3478	0.1704	3	42	84	19	2020.3158	9.6316	0.8664
4445	china	-0.9024	-0.2868	1	86	168	52	2018.8462	15.5385	0.8978
4545	cities	-0.4844	-0.0057	1	127	257	32	2020.625	17.1562	1.4159
4557	city	-0.5736	0.0807	1	83	184	22	2021.3182	15.5455	1.7724
4584	class imbalance	-0.2582	1.0154	4	37	72	22	2020.9545	12.7727	1.0298
4594	classification	-0.3916	0.7305	4	440	1808	340	2019.9324	28.0353	1.7381
4598	classification algorithms	-0.1889	0.7634	4	131	259	31	2021.0968	12.7097	1.0512
4613	classifier	-0.4194	0.9389	4	90	185	37	2020.4054	16.8649	1.6297
4621	classifiers	-0.3885	0.8566	4	76	126	20	2020.05	69.95	3.8847
4646	climate-change	-0.5298	-0.4229	1	64	83	12	2020.3333	50.5833	4.0939
4686	closed loop systems	0.9883	-0.2463	2	63	89	12	2020.8333	9.3333	0.7934
4702	cloud	0.0162	0.2882	3	356	1377	200	2019.74	28.26	1.7521
4716	cloud computing	0.2031	0.5209	3	454	2155	366	2019.0301	24.4508	1.5552
4767	cloud security	0.3525	0.5903	3	68	114	41	2019.1463	9.2195	0.6283
4837	clustering	-0.2783	0.7547	4	137	265	71	2018.8169	21.9296	1.207
4862	cnn	-0.3736	0.826	4	113	241	49	2020.9592	12.6735	1.0379
4889	co-simulation	0.7888	-0.6092	2	75	122	23	2020.0435	7.913	0.5202
4943	codes	0.0119	0.4939	4	72	94	14	2021.8571	7.8571	0.9553
4963	cognition	-0.9392	-0.1254	1	73	106	20	2018.8	10.45	0.7594
5060	collaboration	-0.6598	-0.2389	1	165	290	42	2019.2143	14.6667	1.2095
5123	collaborative work	0.2469	0.9893	3	64	133	14	2022.1429	24.4286	3.7175
5256	communication	0.4946	0.0703	3	521	1822	256	2019.7383	29.3125	1.8231
5297	communication networks	0.8983	-0.2224	2	191	344	44	2020.4773	17.0909	1.4041
5315	communication system security	0.6103	0.279	3	131	251	34	2019.2647	14.4706	0.9746
5317	communication technologies	0.1352	-0.2307	3	95	150	21	2018.5238	27.6667	1.8906
5357	companies	-0.3393	-0.2	1	169	278	30	2021.2333	13.3667	1.4551
5393	competition	-0.8722	-0.3476	1	67	94	20	2019.9	11.65	0.757
5432	complex networks	1.0174	-0.2604	2	91	135	28	2018.8929	17	1.054
5447	complexity	-0.524	-0.1541	1	92	120	28	2018.8214	7.4643	0.5439
5451	compliance	-1.0199	-0.4159	1	76	124	26	2019.3462	10.6923	0.6321
5526	computation	0.1785	0.2372	3	70	99	20	2019.9	30.55	1.7964
5544	computational intelligence	-0.6976	0.2085	1	83	114	15	2018.2667	45.4667	2.4579
5546	computational modeling	0.3854	0.2153	4	323	869	99	2021.4646	11.6263	1.3811
5559	computer	-0.8037	-0.1797	1	87	125	22	2019.4091	12.1818	0.877
5566	computer architecture	0.2072	0.5676	3	280	741	79	2020.9873	24.2405	2.0408
5576	computer crime	0.1939	-0.0366	4	490	1743	193	2021.0259	12.886	1.5036
5592	computer hacking	-0.1712	0.424	4	120	187	27	2019.8148	11.1852	0.8734
5614	computer network security	0.8904	-0.495	2	94	145	26	2016.9615	10.5	0.573
5617	computer networks	-0.2374	0.6829	4	58	83	18	2018.2222	11.2778	0.737
5621	computer science	-0.7707	0.1488	1	93	143	25	2020.36	10.28	0.9121
5625	computer security	-0.2279	-0.0478	1	551	2012	315	2019.5714	16.1746	1.1583
5647	computer vision	-0.4516	0.6389	4	75	111	18	2021.4444	8.5	0.9405
5781	confidentiality	0.1298	-0.4588	5	108	237	42	2019.4048	24	1.3431
5797	conflict	-0.8838	-0.3006	1	57	90	24	2019	18.3333	1.051
5856	connected vehicles	0.4482	0.3423	3	153	312	45	2020.3333	21.2667	1.7194
5868	consensus	0.9791	-0.1628	2	218	534	77	2020.1299	34.5714	2.3149
5889	consequences	-0.9664	-0.3943	1	68	92	20	2020.3	13.4	0.9676
5930	construction	-0.4	-0.0854	1	84	138	28	2019.8929	24.1071	1.813
5970	consumption	-0.2104	-0.2777	1	77	104	14	2020.5714	26.3571	2.3618
6017	context	-0.4613	-0.1575	1	138	273	36	2020.0833	13.6111	1.0927
