id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
1	bodkhe (2020)	"<table><tr><td>Authors:</td><td>bodkhe, umesh; tanwar, sudeep; parekh, karan; khanpara, pimal; tyagi, sudhanshu; kumar, neeraj; alazab, mamoun</td></tr><tr><td>Title:</td><td>blockchain for industry 4.0: a comprehensive review</td></tr><tr><td>Source:</td><td>ieee access, 8, 79764-79800</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1109/access.2020.2988579	0.6864	-0.231	1	51	138	365	14.9263	2020	365	14.9263
4	teixeira (2015)	"<table><tr><td>Authors:</td><td>teixeira, andré; shames, iman; sandberg, henrik; johansson, karl henrik</td></tr><tr><td>Title:</td><td>a secure control framework for resource-limited adversaries</td></tr><tr><td>Source:</td><td>automatica, 51, 135-148</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1016/j.automatica.2014.10.067	-0.464	0.0278	4	239	340	784	20.6	2015	784	20.6
6	de persis (2015)	"<table><tr><td>Authors:</td><td>de persis, claudio; tesi, pietro</td></tr><tr><td>Title:</td><td>input-to-state stabilizing control under denial-of-service</td></tr><tr><td>Source:</td><td>ieee transactions on automatic control, 60(11), 2930-2944</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1109/tac.2015.2416924	-0.5689	0.3119	2	257	343	798	20.9679	2015	798	20.9679
8	xin (2018)	"<table><tr><td>Authors:</td><td>xin, yang; kong, lingshuang; liu, zhi; chen, yuling; li, yanmiao; zhu, hongliang; gao, mingcheng; hou, haixia; wang, chunhua</td></tr><tr><td>Title:</td><td>machine learning and deep learning methods for cybersecurity</td></tr><tr><td>Source:</td><td>ieee access, 6, 35365-35381</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1109/access.2018.2836950	1.2251	0.0311	1	191	420	644	21.7014	2018	644	21.7014
10	dong (2014)	"<table><tr><td>Authors:</td><td>dong, zhaoyang; zhao, junhua; wen, fushuan; xue, yusheng</td></tr><tr><td>Title:</td><td>from smart grid to energy internet: basic concept and research framework</td></tr><tr><td>Source:</td><td>dianli xitong zidonghua/automation of electric power systems, 38(15), 1-11</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.7500/aeps20140613007	-0.7291	-0.1578	4	393	713	606	17.6749	2014	606	17.6749
11	mo (2014)	"<table><tr><td>Authors:</td><td>mo, yilin; chabukswar, rohan; sinopoli, bruno</td></tr><tr><td>Title:</td><td>detecting integrity attacks on scada systems</td></tr><tr><td>Source:</td><td>ieee transactions on control systems technology, 22(4), 1396-1407</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1109/tcst.2013.2280899	-0.5238	0.3754	2	138	208	432	12.5999	2014	432	12.5999
13	sarker (2021a)	"<table><tr><td>Authors:</td><td>sarker, iqbal h.</td></tr><tr><td>Title:</td><td>machine learning: algorithms, real-world applications and research directions</td></tr><tr><td>Source:</td><td>sn computer science, 2(3)</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1007/s42979-021-00592-x	1.2693	-0.0443	1	190	600	983	49.3694	2021	983	49.3694
14	zarpelão (2017)	"<table><tr><td>Authors:</td><td>zarpelão, bruno bogaz; miani, rodrigo sanches; kawakani, cláudio toshio; de alvarenga, sean carlisto</td></tr><tr><td>Title:</td><td>a survey of intrusion detection in internet of things</td></tr><tr><td>Source:</td><td>journal of network and computer applications, 84, 25-37</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1016/j.jnca.2017.02.009	0.8821	-0.1247	1	209	402	658	20.0438	2017	658	20.0438
15	ahmed (2016)	"<table><tr><td>Authors:</td><td>ahmed, mohiuddin; naser mahmood, abdun; hu, jiankun</td></tr><tr><td>Title:</td><td>a survey of network anomaly detection techniques</td></tr><tr><td>Source:</td><td>journal of network and computer applications, 60, 19-31</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1016/j.jnca.2015.11.016	1.0493	0.0253	1	107	159	896	27.9308	2016	896	27.9308
18	liang (2017)	"<table><tr><td>Authors:</td><td>liang, gaoqi; zhao, junhua; luo, fengji; weller, steven r.; dong, zhao yang</td></tr><tr><td>Title:</td><td>a review of false data injection attacks against modern power systems</td></tr><tr><td>Source:</td><td>ieee transactions on smart grid, 8(4), 1630-1638</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1109/tsg.2015.2495133	-1.0931	-0.2042	3	396	1210	611	18.6121	2017	611	18.6121
